ticker ;name                         ;id             ;id2                         ;id3                       ;Comment
BTC    ;Bitcoin                      ;bitcoin        ;bitcoin                     ;                          
ETH    ;Ethereum                     ;ethereum       ;ethereum                    ;                          
XRP    ;XRP                          ;               ;                            ;xrp                       
LTC    ;Litecoin                     ;litecoin       ;litecoin                    ;                          
XMR    ;Monero                       ;monero         ;monero                      ;                          
ETC    ;Ethereum Classic             ;               ;ethereum-classic            ;                          
DASH   ;Dash                         ;dash           ;dash                        ;                          
STEEM  ;Steem                        ;steem          ;steem                       ;                          
XEM    ;NEM                          ;nem            ;nem                         ;                          
FCT    ;Factom                       ;factom         ;factom                      ;                          
WAVES  ;Waves                        ;waves          ;waves                       ;                          
DOGE   ;Dogecoin                     ;dogecoin       ;dogecoin                    ;                          
XLM    ;Stellar                      ;stellar        ;stellar                     ;                          
ZEC    ;Zcash                        ;zcash          ;zcash                       ;                          
LSK    ;Lisk                         ;lisk           ;lisk                        ;                          
GAME   ;GameCredits                  ;gamecredits    ;gamecredits                 ;                          
BTS    ;BitShares                    ;bitshares      ;bitshares                   ;                          
USDT   ;Tether                       ;tether         ;tether                      ;                          
BCN    ;Bytecoin                     ;bytecoin       ;bytecoin                    ;                          
NLG    ;Gulden                       ;gulden         ;gulden                      ;                          
EMC    ;Emercoin                     ;emercoin       ;emercoin                    ;                          
NEO    ;NEO                          ;neo            ;neo                         ;                          
STRAX  ;Stratis                      ;stratis        ;stratis                     ;                          
LMC    ;LoMoCoin                     ;               ;                            ;                          ;not-tracked
IOC    ;I/O Coin                     ;               ;                            ;iocoin                    
NXT    ;Nxt                          ;nxt            ;nxt                         ;                          
PPC    ;Peercoin                     ;peercoin       ;peercoin                    ;                          
AGRS   ;Agoras                       ;               ;                            ;agoras-currency-of-tau    
SC     ;Siacoin                      ;siacoin        ;siacoin                     ;                          
RBY    ;Rubycoin                     ;               ;                            ;rubycoin                  ;cmc
XCP    ;Counterparty                 ;counterparty   ;counterparty                ;                          
SYS    ;Syscoin                      ;syscoin        ;syscoin                     ;                          
GCR    ;Global Currency Reserve      ;               ;                            ;global-currency-reserve   ;cmc
NMC    ;Namecoin                     ;               ;                            ;namecoin                  
POT    ;PotCoin                      ;potcoin        ;potcoin                     ;                          
NAV    ;NAV Coin                     ;               ;nav-coin                    ;                          
GRC    ;GridCoin                     ;               ;                            ;gridcoin-research         
ION    ;Ionomy                       ;ionomy         ;ionomy                      ;                          
BLK    ;BlackCoin                    ;blackcoin      ;blackcoin                   ;                          
DGB    ;DigiByte                     ;digibyte       ;digibyte                    ;                          
CLAM   ;Clams                        ;clams          ;clams                       ;                          
DCR    ;Decred                       ;decred         ;decred                      ;                          
OMNI   ;Omni                         ;omni           ;omni                        ;                          
TIPS   ;FedoraCoin                   ;fedoracoin     ;fedoracoin                  ;                          
VASH   ;VPNCoin                      ;vpncoin        ;vpncoin                     ;                          
AEON   ;Aeon                         ;aeon           ;aeon                        ;                          
NXS    ;Nexus                        ;nexus          ;nexus                       ;                          
SBD    ;Steem Dollars                ;               ;steem-dollars               ;                          
SIB    ;SIBCoin                      ;sibcoin        ;sibcoin                     ;                          
VTC    ;Vertcoin                     ;vertcoin       ;vertcoin                    ;                          
VRS    ;Veros                        ;               ;                            ;veros ; cmc
AUR    ;Auroracoin                   ;auroracoin     ;auroracoin                  ;                          
MONA   ;MonaCoin                     ;               ;                            ;monacoin                    
EAC    ;EarthCoin                    ;earthcoin      ;earthcoin                   ;                          
CURE   ;Curecoin                     ;curecoin       ;curecoin                    ;                          
EXP    ;Expanse                      ;expanse        ;expanse                     ;                          
VAL    ;Validity                     ;               ;                            ;radium; rebranded val 2020/12/21                  
SIGNA  ;Signum                       ;signum         ;signum                      ;                          
FTC    ;Feathercoin                  ;feathercoin    ;feathercoin                 ;                          
XPM    ;Primecoin                    ;primecoin      ;primecoin                   ;                          
XHI    ;HiCoin                       ;hicoin         ;hicoin                      ;                          
CLOAK  ;CloakCoin                    ;cloakcoin      ;cloakcoin                   ;                          
VIA    ;Viacoin                      ;               ;                            ;viacoin                   
USNBT  ;NuBits                       ;               ;                            ;; not-tracked                    
NVC    ;Novacoin                     ;novacoin       ;novacoin                    ;                          
BBR    ;Boolberry                    ;               ;                            ;bitberry-token                   
VRC    ;VeriCoin                     ;vericoin       ;vericoin                    ;                          
ADZ    ;Adzcoin                      ;               ;                            ;aidcoin                   
ENRG   ;Energycoin                   ;               ;                            ;; not-tracked                  
QRK    ;Quark                        ;quark          ;quark                       ;                          
MOON   ;Mooncoin                     ;mooncoin       ;mooncoin                    ;                          
GLC    ;GoldCoin                     ;goldcoin       ;goldcoin                    ;                          
SLS    ;SaluS                        ;               ;                            ;salus                  
XDN    ;DigitalNote                  ;digitalnote    ;digitalnote                 ;                          
RDD    ;ReddCoin                     ;reddcoin       ;reddcoin                    ;                          
GBYTE  ;Obyte                        ;               ;                            ;byteball; rebranded obyte 2019/01/17
OK     ;OKCash                       ;okcash         ;okcash                      ;                          
WDC    ;WorldCoin                    ;worldcoin      ;worldcoin                   ;                          
MEC    ;Megacoin                     ;megacoin       ;megacoin                    ;                          
NOTE   ;DNotes                       ;               ;                            ;dnotes; cmc                  
IFC    ;Infinitecoin                 ;infinitecoin   ;infinitecoin                ;                          
BLOCK  ;Blocknet                     ;blocknet       ;blocknet                    ;                          
FREED  ;Freedomcoin                  ;               ;                            ;trumpcoin; cmc
ZET    ;Zetacoin                     ;zetacoin       ;zetacoin                    ;                          
LBC    ;LBRY Credits                 ;               ;lbry-credits                ;                          
DMD    ;Diamond                      ;diamond        ;diamond                     ;                          
GB     ;GoldBlocks                   ;goldblocks     ;goldblocks                  ;                          
FLO    ;FLO                          ;               ;                            ;not-tracked                      
PIVX   ;PIVX                         ;pivx           ;pivx                        ;                          
BELA   ;Bela                         ;bela           ;bela                        ;                          
J      ;Joincoin                     ;joincoin       ;joincoin                    ;                          
FIRO   ;Firo                         ;               ;                            ;zcoin; rebranded                       
BOST   ;BoostCoin                    ;               ;                            ;; not-tracked                    
RVR    ;RevolutionVR                 ;               ;                            ;; not-tracked                
HTC    ;HitCoin                      ;               ;                            ;hitcoin                    
ERC    ;EuropeCoin                   ;europecoin     ;europecoin                  ;                          
EGC    ;EverGreenCoin                ;               ;                            ;evergreencoin;blockspot.io
XMY    ;Myriad                       ;               ;                            ;myriadcoin                
DGC    ;Digitalcoin                  ;digitalcoin    ;digitalcoin                 ;                          
RISE   ;Rise                         ;               ;                            ;rise                  
GOLOS  ;Golos                        ;               ;                            ;                    
PASC   ;Pascal Coin                  ;               ;                            ;pascalcoin                
PUT    ;PutinCoin                    ;putincoin      ;putincoin                   ;                          
ZCL    ;ZClassic                     ;zclassic       ;zclassic                    ;                          
WBB    ;Wild Beast Block             ;               ;wild-beast-block            ;                          
VIDZ   ;PureVidz                     ;               ;                            ;purevidz ; cmc                
NEOS   ;NeosCoin                     ;               ;                            ;
KMD    ;Komodo                       ;komodo         ;komodo                      ;                          
UBQ    ;Ubiq                         ;ubiq           ;ubiq                        ;                          
SHIFT  ;Shift                        ;               ;                            ;not-tracked
DIME   ;Dimecoin                     ;dimecoin       ;dimecoin                    ;                          
SEQ    ;Sequence                     ;               ;                            ;INPROGRESS TODO
XBC    ;Bitcoin Plus                 ;               ;bitcoin-plus                ;                          
ARK    ;Ark                          ;ark            ;ark                         ;                          
MUE    ;MonetaryUnit                 ;monetaryunit   ;monetaryunit                ;                          
ARC    ;Advanced Technology Coin     ;               ;                            ;ontology                  
BSD    ;BitSend                      ;               ;                            ;bitsong                   
MSCN   ;Master Swiscoin              ;               ;                            ;masterwin                 
SPR    ;SpreadCoin                   ;               ;                            ;spendcoin                 
EMC2   ;Einsteinium                  ;einsteinium    ;einsteinium                 ;                          
XNO    ;Nano                         ;nano           ;nano                        ;                          
SKY    ;Skycoin                      ;skycoin        ;skycoin                     ;                          
DBIX   ;DubaiCoin                    ;               ;                            ;baitcoin                  
FRST   ;FirstCoin                    ;               ;                            ;faithcoin                 
PINK   ;PinkCoin                     ;pinkcoin       ;pinkcoin                    ;                          
XAS    ;Asch                         ;               ;                            ;ash                       
CCRB   ;CryptoCarbon                 ;               ;                            ;cryptocart                
ZENI   ;Zennies                      ;zennies        ;zennies                     ;                          
XVG    ;Verge                        ;verge          ;verge                       ;                          
XBY    ;XTRABYTES                    ;xtrabytes      ;xtrabytes                   ;                          
SPHR   ;Sphere                       ;sphere         ;sphere                      ;                          
MIOTA  ;IOTA                         ;iota           ;iota                        ;                          
SNT    ;Status                       ;status         ;status                      ;                          
VERI   ;Veritaseum                   ;veritaseum     ;veritaseum                  ;                          
MGO    ;MobileGo                     ;mobilego       ;mobilego                    ;                          
RLC    ;iExec RLC                    ;               ;iexec-rlc                   ;                          
MLN    ;Enzyme                       ;               ;                            ;nym                       
NMR    ;Numeraire                    ;numeraire      ;numeraire                   ;                          
WINGS  ;Wings                        ;wings          ;wings                       ;                          
PPY    ;Peerplays                    ;               ;                            ;peerguess                 
MYST   ;Mysterium                    ;mysterium      ;mysterium                   ;                          
XEL    ;Elastic                      ;               ;                            ;elastos                   
XCN    ;Cryptonite                   ;               ;                            ;cryptonits                
OMG    ;OMG Network                  ;               ;                            ;gonetwork                 
MTL    ;Metal                        ;metal          ;metal                       ;                          
ETP    ;Metaverse ETP                ;               ;metaverse-etp               ;                          
DCT    ;DECENT                       ;               ;                            ;decentr                   
PART   ;Particl                      ;particl        ;particl                     ;                          
STORJ  ;Storj                        ;storj          ;storj                       ;                          
CHC    ;ChainCoin                    ;               ;                            ;chaincorn                 
NLC2   ;NoLimitCoin                  ;nolimitcoin    ;nolimitcoin                 ;                          
BCH    ;Bitcoin Cash                 ;               ;bitcoin-cash                ;                          
QTUM   ;Qtum                         ;qtum           ;qtum                        ;                          
PAY    ;TenX                         ;tenx           ;tenx                        ;                          
EOS    ;EOS                          ;eos            ;eos                         ;                          
MAID   ;MaidSafeCoin                 ;maidsafecoin   ;maidsafecoin                ;                          
REP    ;Augur                        ;augur          ;augur                       ;                          
GLM    ;Golem                        ;golem          ;golem                       ;                          
BAT    ;Basic Attention Token        ;               ;basic-attention-token       ;                          
BNB    ;Binance Coin                 ;               ;                            ;binancecoin               
GNO    ;Gnosis                       ;gnosis         ;gnosis                      ;                          
CVC    ;Civic                        ;civic          ;civic                       ;                          
ZRX    ;0x                           ;0x             ;0x                          ;                          
PPT    ;Populous                     ;populous       ;populous                    ;                          
GAS    ;Gas                          ;gas            ;gas                         ;                          
MCO    ;Crypto.com                   ;               ;                            ;cryptotem                 
ARDR   ;Ardor                        ;ardor          ;ardor                       ;                          
BNT    ;Bancor Network Token         ;               ;                            ;bancor                    
FUN    ;FUNToken                     ;               ;                            ;fujitoken                 
BTM    ;Bytom                        ;bytom          ;bytom                       ;                          
ANT    ;Aragon                       ;aragon         ;aragon                      ;                          
SNGLS  ;SNGLS DAO                    ;               ;                            ;snglsdao-governance-token 
TNT    ;Tierion                      ;tierion        ;tierion                     ;                          
DNT    ;district0x                   ;district0x     ;district0x                  ;                          
EDG    ;Edgeless                     ;edgeless       ;edgeless                    ;                          
VGX    ;Voyager Token                ;               ;                            ;voyager                   
ADX    ;Ambire AdEx                  ;               ;                            ;ambire-wallet             
PLR    ;Pillar                       ;pillar         ;pillar                      ;                          
CDT    ;Blox                         ;blox           ;blox                        ;                          
STX    ;Stox                         ;stox           ;stox                        ;                          
XRL    ;Rialto                       ;               ;                            ;rito                      
QRL    ;Quantum Resistant Ledger     ;               ;quantum-resistant-ledger    ;                          
VSL    ;vSlice                       ;               ;                            ;vicstep                   
LUN    ;Lunyr                        ;lunyr          ;lunyr                       ;                          
SAN    ;Santiment Network Token      ;               ;santiment-network-token     ;                          
SNM    ;SONM                         ;sonm           ;sonm                        ;                          
KNC    ;Kyber Network Crystal        ;               ;kyber-network-crystal       ;                          
LINK   ;ChainLink                    ;chainlink      ;chainlink                   ;                          
WTC    ;Waltonchain                  ;waltonchain    ;waltonchain                 ;                          
AE     ;Aeternity                    ;aeternity      ;aeternity                   ;                          
KIN    ;Kin                          ;kin            ;kin                         ;                          
SALT   ;SALT                         ;salt           ;salt                        ;                          
MTH    ;Monetha                      ;monetha        ;monetha                     ;                          
LRC    ;Loopring                     ;loopring       ;loopring                    ;                          
TCC    ;The ChampCoin                ;               ;the-champcoin               ;                          
BMC    ;Blackmoon Crypto             ;               ;                            ;blackcoin                 
TRX    ;TRON                         ;tron           ;tron                        ;                          
SUB    ;Substratum                   ;substratum     ;substratum                  ;                          
POE    ;Po.et                        ;               ;                            ;poet                      
ZEN    ;Horizen                      ;               ;                            ;horgi                     
DLT    ;Agrello Delta                ;               ;                            ;agrello                   
MANA   ;Decentraland                 ;decentraland   ;decentraland                ;                          
ADA    ;Cardano                      ;cardano        ;cardano                     ;                          
KNCL   ;Kyber Network Crystal Legacy ;               ;                            ;kyber-network-crystal     
ATM    ;ATMChain                     ;               ;                            ;achain                    
SMART  ;SmartCash                    ;smartcash      ;smartcash                   ;                          
PURA   ;Pura                         ;               ;                            ;pray                      
NEBL   ;Neblio                       ;neblio         ;neblio                      ;                          
ATB    ;Atbcoin                      ;atbcoin        ;atbcoin                     ;                          
AMB    ;Ambrosus                     ;               ;                            ;amber                     
AST    ;AirSwap                      ;airswap        ;airswap                     ;                          
ENG    ;Enigma                       ;enigma         ;enigma                      ;                          
MDA    ;Moeda Loyalty Points         ;               ;moeda-loyalty-points        ;                          
PHX    ;Red Pulse Phoenix            ;               ;                            ;red-pulse                 
EVX    ;Everex                       ;everex         ;everex                      ;                          
REQ    ;Request Network              ;               ;request-network             ;                          
VIB    ;Viberate                     ;viberate       ;viberate                    ;                          
BTG    ;Bitcoin Gold                 ;               ;bitcoin-gold                ;                          
BTX    ;BitCore                      ;bitcore        ;bitcore                     ;                          
POWR   ;Power Ledger                 ;               ;power-ledger                ;                          
XUC    ;Exchange Union               ;               ;exchange-union              ;                          
RDN    ;Raiden Network               ;               ;raiden-network              ;                          
DATA   ;Streamr                      ;streamr        ;streamr                     ;                          
MNX    ;MinexCoin                    ;               ;                            ;mindcoin                  
QSP    ;Quantstamp                   ;quantstamp     ;quantstamp                  ;                          
RCN    ;Ripio Credit Network         ;               ;ripio-credit-network        ;                          
OTN    ;Open Trading Network         ;               ;                            ;minter-network            
REV    ;RChain                       ;rchain         ;rchain                      ;                          
REV    ;Revain                       ;revain         ;revain                      ;                          
GRID   ;Grid+                        ;               ;                            ;grid                      
COB    ;Cobinhood                    ;               ;                            ;coin                      
ICX    ;ICON                         ;icon           ;icon                        ;                          
ETN    ;Electroneum                  ;electroneum    ;electroneum                 ;                          
AION   ;Aion                         ;aion           ;aion                        ;                          
DRGN   ;Dragonchain                  ;dragonchain    ;dragonchain                 ;                          
ELF    ;aelf                         ;aelf           ;aelf                        ;                          
DENT   ;Dent                         ;dent           ;dent                        ;                          
LEND   ;Aave [old]                   ;               ;                            ;aave                      
THC    ;HempCoin                     ;               ;                            ;hempcoin-thc              
ENJ    ;Enjin Coin                   ;               ;                            ;enjincoin                 
CND    ;Cindicator                   ;cindicator     ;cindicator                  ;                          
STORM  ;Storm                        ;storm          ;storm                       ;                          
UTK    ;UTRUST                       ;utrust         ;utrust                      ;                          
MKR    ;Maker                        ;maker          ;maker                       ;                          
KCS    ;KuCoin Token                 ;               ;                            ;dcoin-token               
IGNIS  ;Ignis                        ;ignis          ;ignis                       ;                          
NAS    ;Nebulas Token                ;               ;                            ;nebulatoken               
IOST   ;IOStoken                     ;iostoken       ;iostoken                    ;                          
SRN    ;SIRIN LABS Token             ;               ;sirin-labs-token            ;                          
MED    ;Medibloc                     ;medibloc       ;medibloc                    ;                          
HPB    ;High Performance Blockchain  ;               ;high-performance-blockchain ;                          
PAC    ;PAC Protocol                 ;               ;                            ;despace-protocol          
SPHTX  ;SophiaTX                     ;               ;                            ;sopay                     
