cc-ticker;cg-id
0xBTC;oxbitcoin
ADA;cardano
AVAX;avalanche-2
BCH;bitcoin-cash
BCN;bytecoin
BNB;binancecoin
BSV;bitcoin-cash-sv
BTC;bitcoin
BTG;bitcoin-gold
BTS;bitshares
BUSD;binance-usd
CRO;crypto-com-chain
DASH;dash
DCR;decred
DOGE;dogecoin
DOT;polkadot
EOS;eos
ETC;ethereum-classic
ETH;ethereum
FCT;factom
LINK;chainlink
LTC;litecoin
LUNC;terra-luna
MIOTA;iota
NEO;neo
PAC;paccoin
PIVX;pivx
SHIB;shiba-inu
SOL;solana
STEEM;steem
STRAX;stratis
THETA;theta-token
TRX;tron
UNI;uniswap
USDC;usd-coin
USDT;tether
USTC;terrausd
XEM;nem
XLM;stellar
XMR;monero
XRP;ripple
XTZ;tezos
ZEC;zcash